"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"7 Aug 2024 15:01:29 UTC","22720164042","Order","206-4638600-7728302","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","10","amazon.co.uk","Amazon","LONDON","","WC1V 6","","91.60","18.30","3.70","0.79","0","0","-3.70","-0.79","0","-20.16","-35.40","0","0","54.34"
"7 Aug 2024 15:02:16 UTC","22720164042","Order","203-9208266-7327555","73-I6VU-KVIH","Lenovo 40AF0135UK ThinkPad Hybrid USB-C with USB-A Dock - Docking station - USB-C - GigE - 135 Watt - GB - for ThinkPad L480 L580 T480s X1 Yoga X280 -","1","amazon.co.uk","Amazon","DORCHESTER","Dorset","DT1 1","","96.66","19.33","0","0","0","0","0","0","0","-19.92","-4.68","0","0","91.39"
"7 Aug 2024 15:52:48 UTC","22720164042","Order","026-0073995-9661906","BL-VW07-9TIM","Lenovo Essential Compact Wireless Mouse, Black, 4Y50R20864","2","amazon.co.uk","Amazon","HOUNSLOW","","TW3 3","","24.98","5.00","4.15","0.84","0","0","0","0","0","-5.50","-12.31","0","0","17.16"
"7 Aug 2024 15:55:28 UTC","22720164042","Order","203-8277397-7206738","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","1","amazon.co.uk","Amazon","ILFORD","","IG1 3","","9.16","1.83","0","0","0","0","0","0","0","-2.02","-3.54","0","0","5.43"
"7 Aug 2024 16:22:29 UTC","22720164042","Order","205-2055036-2554736","2N-LAZ5-G7ZH","HP EliteBook 830 G5 13.3 FullHD Laptop "" Core i5-8250U (4 Cores, 3.40 GHz), 16GB DDR4, 1TB SSD, Intel UHD Graphics 620, WiFi 11ac & BT 4.2, Windows 10","1","amazon.co.uk","Amazon","SALFORD","","M5 5","","266.66","53.33","3.74","0.75","0","0","-3.74","-0.75","0","-27.42","-8.30","0","0","284.27"
"7 Aug 2024 16:24:12 UTC","22720164042","Order","204-8005220-2229112","MY-0IHR-ICWL","Dell D3100 Docking Station 3, 0 Ultra HD Triple Video, 452-Bbot (Ultra HD Triple Video) (Renewed)","1","amazon.co.uk","Amazon","Derby","England","DE74 2","","69.99","14.00","0","0","0","0","0","0","0","-15.42","-4.68","0","0","63.89"
"7 Aug 2024 18:07:51 UTC","22720164042","Order","026-7291861-9176349","ZD-Z7S8-4ZA1","Dell D6000 Usb-C Triple Docking Station, Up To Three 4K Displays Via Usb-C, Uhd 5K, Usb 3.0, Gigabit Ethernet, 130-Watt Ac Adapter, Charges Up To 65W","1","amazon.co.uk","Amazon","NEWPORT","","NP20 1","","69.99","14.00","0","0","0","0","0","0","0","-15.42","-4.68","0","0","63.89"
"7 Aug 2024 18:07:51 UTC","22720164042","Order","026-7291861-9176349","ZD-Z7S8-4ZA1","Dell D6000 Usb-C Triple Docking Station, Up To Three 4K Displays Via Usb-C, Uhd 5K, Usb 3.0, Gigabit Ethernet, 130-Watt Ac Adapter, Charges Up To 65W","1","amazon.co.uk","Amazon","NEWPORT","","NP20 1","","69.99","14.00","0","0","0","0","0","0","0","-15.42","-4.68","0","0","63.89"
"7 Aug 2024 20:03:49 UTC","22720164042","Order","204-2552695-8293921","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","1","amazon.co.uk","Amazon","London","","N7 8","","9.16","1.83","0","0","0","0","0","0","0","-2.02","-3.54","0","0","5.43"
"7 Aug 2024 21:06:08 UTC","22720164042","Order","204-3324002-5723521","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","1","amazon.co.uk","Amazon","LONDON","","EC3R 6","","9.16","1.83","2.08","0.42","0","0","0","0","0","-2.02","-6.04","0","0","5.43"
